TAZ,2020,2030,2040,2050,2060
3601,750,940,1140,1340,1530
3602,9570,10740,11900,13060,14230
3603,1480,1680,1880,2080,2280
3604,28390,33020,37650,42280,46920
3605,3840,4360,4880,5400,5920
3606,20210,23540,26870,30190,33520
3607,2090,2460,2830,3200,3570
3608,9200,9720,10240,10810,11380
3609,23820,29080,34350,39610,44780
3610,100,100,150,150,200
3611,,5720,6920,7530,8200
3612,49550,50850,56670,63080,69940
3613,450,560,670,790,900
3614,58240,68330,78420,88500,98590
3615,460,520,580,640,700
3616,320,340,380,420,460
3617,1810,2090,2360,2650,2950
3618,1970,2410,2850,3290,3730
3619,400,450,500,550,600
3620,12110,14070,16020,18030,20040
3621,350,350,400,400,450
3622,100,150,150,200,200
3623,8220,8810,9400,9990,10580
3624,1870,2010,2150,2290,2430
3625,100,150,150,200,200
3626,3100,3560,4120,4680,5250
3627,350,350,400,400,450
3628,29000,34940,41380,47820,54260
3629,1690,2180,2670,3170,3660
