externalid,year,AADT,forecast
3601,2020,750.0,v900
3602,2020,9570.0,v900
3603,2020,1480.0,v900
3604,2020,28390.0,v900
3605,2020,3840.0,v900
3606,2020,20210.0,v900
3607,2020,2090.0,v900
3608,2020,9200.0,v900
3609,2020,23820.0,v900
3610,2020,100.0,v900
3611,2020,,v900
3612,2020,49550.0,v900
3613,2020,450.0,v900
3614,2020,58240.0,v900
3615,2020,460.0,v900
3616,2020,320.0,v900
3617,2020,1810.0,v900
3618,2020,1970.0,v900
3619,2020,400.0,v900
3620,2020,12110.0,v900
3621,2020,350.0,v900
3622,2020,100.0,v900
3623,2020,8220.0,v900
3624,2020,1870.0,v900
3625,2020,100.0,v900
3626,2020,3100.0,v900
3627,2020,350.0,v900
3628,2020,29000.0,v900
3629,2020,1690.0,v900
3601,2030,940.0,v900
3602,2030,10740.0,v900
3603,2030,1680.0,v900
3604,2030,33020.0,v900
3605,2030,4360.0,v900
3606,2030,23540.0,v900
3607,2030,2460.0,v900
3608,2030,9720.0,v900
3609,2030,29080.0,v900
3610,2030,100.0,v900
3611,2030,5720.0,v900
3612,2030,50850.0,v900
3613,2030,560.0,v900
3614,2030,68330.0,v900
3615,2030,520.0,v900
3616,2030,340.0,v900
3617,2030,2090.0,v900
3618,2030,2410.0,v900
3619,2030,450.0,v900
3620,2030,14070.0,v900
3621,2030,350.0,v900
3622,2030,150.0,v900
3623,2030,8810.0,v900
3624,2030,2010.0,v900
3625,2030,150.0,v900
3626,2030,3560.0,v900
3627,2030,350.0,v900
3628,2030,34940.0,v900
3629,2030,2180.0,v900
3601,2040,1140.0,v900
3602,2040,11900.0,v900
3603,2040,1880.0,v900
3604,2040,37650.0,v900
3605,2040,4880.0,v900
3606,2040,26870.0,v900
3607,2040,2830.0,v900
3608,2040,10240.0,v900
3609,2040,34350.0,v900
3610,2040,150.0,v900
3611,2040,6920.0,v900
3612,2040,56670.0,v900
3613,2040,670.0,v900
3614,2040,78420.0,v900
3615,2040,580.0,v900
3616,2040,380.0,v900
3617,2040,2360.0,v900
3618,2040,2850.0,v900
3619,2040,500.0,v900
3620,2040,16020.0,v900
3621,2040,400.0,v900
3622,2040,150.0,v900
3623,2040,9400.0,v900
3624,2040,2150.0,v900
3625,2040,150.0,v900
3626,2040,4120.0,v900
3627,2040,400.0,v900
3628,2040,41380.0,v900
3629,2040,2670.0,v900
3601,2050,1340.0,v900
3602,2050,13060.0,v900
3603,2050,2080.0,v900
3604,2050,42280.0,v900
3605,2050,5400.0,v900
3606,2050,30190.0,v900
3607,2050,3200.0,v900
3608,2050,10810.0,v900
3609,2050,39610.0,v900
3610,2050,150.0,v900
3611,2050,7530.0,v900
3612,2050,63080.0,v900
3613,2050,790.0,v900
3614,2050,88500.0,v900
3615,2050,640.0,v900
3616,2050,420.0,v900
3617,2050,2650.0,v900
3618,2050,3290.0,v900
3619,2050,550.0,v900
3620,2050,18030.0,v900
3621,2050,400.0,v900
3622,2050,200.0,v900
3623,2050,9990.0,v900
3624,2050,2290.0,v900
3625,2050,200.0,v900
3626,2050,4680.0,v900
3627,2050,400.0,v900
3628,2050,47820.0,v900
3629,2050,3170.0,v900
3601,2060,1530.0,v900
3602,2060,14230.0,v900
3603,2060,2280.0,v900
3604,2060,46920.0,v900
3605,2060,5920.0,v900
3606,2060,33520.0,v900
3607,2060,3570.0,v900
3608,2060,11380.0,v900
3609,2060,44780.0,v900
3610,2060,200.0,v900
3611,2060,8200.0,v900
3612,2060,69940.0,v900
3613,2060,900.0,v900
3614,2060,98590.0,v900
3615,2060,700.0,v900
3616,2060,460.0,v900
3617,2060,2950.0,v900
3618,2060,3730.0,v900
3619,2060,600.0,v900
3620,2060,20040.0,v900
3621,2060,450.0,v900
3622,2060,200.0,v900
3623,2060,10580.0,v900
3624,2060,2430.0,v900
3625,2060,200.0,v900
3626,2060,5250.0,v900
3627,2060,450.0,v900
3628,2060,54260.0,v900
3629,2060,3660.0,v900
